AGENCY_ID,STAT_PROFILE_DATE_YEAR,POLY_INFORCE_QTY,NB_WRTN_PREM_AMT,PRD_INCRD_LOSSES_AMT,RETENTION_RATIO,LOSS_RATIO,GROWTH_RATE_3YR,ACTIVE_PRODUCERS,AGENCY_AGE,PREMIUM_GROWTH_YOY,PROD_LINE_ENC,STATE_ENC,MONTHS,LOG_WRTN_PREM_AMT,WRTN_PREM_AMT
3,2005,0,40.0,0.0,0.8875,0.0,-0.015575222,14.0,48,10.0,0,0,8,8.031265037304758,3074.63
3,2006,0,151.0,0.0,0.8875,0.0,-0.015575222,14.0,49,0.20662308887479192,0,0,12,8.789245756979787,6562.28
3,2007,0,40.0,0.0,0.8875,0.0,-0.015575222,14.0,50,-0.05442772938673755,0,0,12,8.733289569633712,6205.11
3,2008,0,69.0,0.0,0.8875,0.0,-0.082901913,14.0,51,-0.1684450396528022,0,0,12,8.548864324222691,5159.89
3,2009,0,28.0,0.0,0.8875,0.0,-0.148077899,14.0,52,-0.12251811569626489,0,0,12,8.418192409710993,4527.71
3,2010,0,120.0,8972.35,0.8875,1.881591447,-0.143914947,14.0,53,0.05317920096472604,0,0,12,8.46999465992723,4768.49
3,2011,0,231.0,3525.92,0.8875,0.706864925,-0.078701876,14.0,54,0.04605650845445831,0,0,12,8.515012816124687,4988.11
3,2012,0,0.0,0.0,0.8875,0.0,-0.050957377,14.0,55,-0.016563387736036272,0,0,12,8.498314097531763,4905.49
3,2013,0,111.0,0.0,0.8875,0.0,-5.5442e-05,14.0,56,-0.07338308711260233,0,0,12,8.422115184657665,4545.51
3,2014,0,213.0,0.0,0.8875,0.0,-0.115753905,14.0,57,-0.19421363059370678,0,0,12,8.20623157419,3662.71
3,2005,0,0.0,0.0,0.8875,0.0,-0.015575222,14.0,48,6.771379458530296,0,1,8,5.893520902777856,361.68
3,2006,0,0.0,0.0,0.8875,0.0,-0.015575222,14.0,49,0.00028389858269091184,0,1,12,6.129137352233054,458.04
3,2007,0,0.0,0.0,0.8875,0.0,-0.015575222,14.0,50,-0.11924722731639159,0,1,12,6.002453941907584,403.42
3,2008,0,0.0,0.0,0.8875,0.0,-0.082901913,14.0,51,-0.07666947598036787,0,1,12,5.922891230452735,372.49
3,2009,0,0.0,0.0,0.8875,0.0,-0.148077899,14.0,52,-0.18518617949475158,0,1,12,5.718703927333203,303.51
3,2010,0,0.0,0.0,0.8875,0.0,-0.143914947,14.0,53,-0.10708049158182598,0,1,12,5.605838830326074,271.01
3,2011,0,638.24,0.0,0.8875,0.0,-0.078701876,14.0,54,2.4671414338954283,0,1,12,6.846549863537731,939.63
3,2012,0,233.71,0.0,0.8875,0.0,-0.050957377,14.0,55,0.22621670231899796,0,1,12,7.05028729420393,1152.19
3,2013,0,0.0,0.0,0.8875,0.0,-5.5442e-05,14.0,56,0.7235785764500646,0,1,12,7.594325881180451,1985.89
3,2014,0,0.0,0.0,0.8875,0.0,-0.115753905,14.0,57,-0.35455135984369734,0,1,12,7.156792672341156,1281.79
